16:48:26.170 > Hello from received
16:48:26.172 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.174 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.177 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.178 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.181 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.183 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.186 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.189 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.191 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.193 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.196 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.199 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.201 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.204 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.206 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.209 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.212 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.214 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.216 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.219 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.222 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.224 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.226 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.229 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.232 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.234 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.237 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.240 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.242 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.244 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.247 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.250 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.252 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.254 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.258 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.260 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.262 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.264 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.268 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.270 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.272 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.275 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.278 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.280 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.282 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.286 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.288 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.290 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.292 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.296 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.298 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.300 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.303 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.306 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.308 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.310 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.313 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.316 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.318 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.320 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.324 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.326 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.328 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.331 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.335 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.336 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.338 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.341 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.344 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.346 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.349 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.351 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.354 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.356 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.359 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.361 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.364 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.367 > X1 :0	 X2 :0	 Y :0	 Z:0
16:48:26.369 > X1 :0	 X2 :0	 Y :0	 Z:0
