Hello from received
18:05:53.156 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.159 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.161 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.162 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.165 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.168 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.170 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.173 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.176 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.178 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.180 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.183 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.186 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.188 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.190 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.194 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.196 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.198 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.200 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.204 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.206 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.208 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.211 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.214 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.216 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.218 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.222 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.224 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.226 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.228 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.232 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.234 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.236 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.239 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.242 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.244 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.246 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.249 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.252 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.254 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.256 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.260 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.262 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.264 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.267 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.270 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.272 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.274 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.277 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.280 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.282 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.285 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.287 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.290 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.292 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.295 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.297 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.300 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.303 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.305 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.308 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.310 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.313 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.315 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.318 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.321 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.323 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.325 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.328 > X1 :0	 X2 :0	 Y :0	 Z:0
18:05:53.331 > X1 :0	 X2 :0	 Y :0	 Z:0
