18:00:30.774 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.778 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.778 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.782 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.782 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.786 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.786 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.790 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.790 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.794 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.794 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.798 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.798 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.803 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.803 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.807 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.807 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.811 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.811 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.815 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.815 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.819 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.819 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.823 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.823 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.827 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.827 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.831 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.835 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.835 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.840 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.840 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.844 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.844 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.848 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.848 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.852 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.852 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.856 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.856 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.860 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.860 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.864 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.864 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.868 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.868 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.872 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.872 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.876 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.876 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.880 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.880 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.885 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.889 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.889 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.893 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.893 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.897 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.897 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.901 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.901 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.905 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.905 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.909 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.909 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.913 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.913 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.917 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.917 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.921 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.921 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.926 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.926 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.930 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.930 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.934 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.934 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.938 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.938 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.942 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.946 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.946 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.950 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.950 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.954 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.954 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.959 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.959 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.962 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.962 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.966 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.966 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.971 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.971 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.975 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.975 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.979 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.979 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.983 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.983 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.987 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.987 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.991 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.991 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.995 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.999 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:30.999 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.003 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.003 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.007 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.007 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.012 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.012 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.016 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.016 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.020 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.020 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.024 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.024 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.028 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.028 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.032 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.032 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.036 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.036 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.040 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.040 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.044 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.044 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.048 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.048 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.053 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.057 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.057 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.061 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.061 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.065 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.065 > X1 :0	 X2 :0	 Y :0	 Z:0
18:00:31.069 > X1 :0	 X2 :0	 Y :0	 Z:0
