17:13:52.550 > Start: mawaaa
17:13:52.550 > CurrentPositionZ :0
17:13:52.554 > CurrentPositionZ :0
17:13:52.554 > CurrentPositionZ :0
17:13:52.558 > CurrentPositionZ :0
17:13:52.558 > CurrentPositionZ :0
17:13:52.558 > CurrentPositionZ :0
17:13:52.562 > CurrentPositionZ :0
17:13:52.562 > CurrentPositionZ :0
17:13:52.567 > CurrentPositionZ :0
17:13:52.567 > CurrentPositionZ :0
17:13:52.571 > CurrentPositionZ :0
17:13:52.571 > CurrentPositionZ :0
17:13:52.571 > CurrentPositionZ :0
17:13:52.575 > CurrentPositionZ :0
17:13:52.575 > CurrentPositionZ :0
17:13:52.579 > CurrentPositionZ :0
17:13:52.579 > CurrentPositionZ :0
17:13:52.583 > CurrentPositionZ :0
17:13:52.583 > CurrentPositionZ :0
17:13:52.587 > CurrentPositionZ :0
17:13:52.587 > CurrentPositionZ :0
17:13:52.587 > CurrentPositionZ :0
17:13:52.591 > CurrentPositionZ :0
17:13:52.591 > CurrentPositionZ :0
17:13:52.595 > CurrentPositionZ :0
17:13:52.595 > CurrentPositionZ :0
17:13:52.599 > CurrentPositionZ :0
17:13:52.599 > CurrentPositionZ :0
17:13:52.599 > CurrentPositionZ :0
17:13:52.603 > CurrentPositionZ :0
17:13:52.603 > CurrentPositionZ :0
17:13:52.608 > CurrentPositionZ :0
17:13:52.608 > CurrentPositionZ :0
17:13:52.612 > CurrentPositionZ :0
17:13:52.612 > CurrentPositionZ :0
17:13:52.612 > CurrentPositionZ :0
17:13:52.616 > CurrentPositionZ :0
17:13:52.616 > CurrentPositionZ :0
17:13:52.620 > CurrentPositionZ :0
17:13:52.620 > CurrentPositionZ :0
17:13:52.624 > CurrentPositionZ :0
17:13:52.624 > CurrentPositionZ :0
17:13:52.628 > CurrentPositionZ :0
17:13:52.628 > CurrentPositionZ :0
17:13:52.628 > CurrentPositionZ :0
17:13:52.632 > CurrentPositionZ :0
17:13:52.632 > CurrentPositionZ :0
17:13:52.636 > CurrentPositionZ :0
17:13:52.636 > CurrentPositionZ :0
17:13:52.640 > CurrentPositionZ :0
