17:00:46.682 > Start: mawaaa
17:00:46.682 > CurrentPositionZ :0
17:00:46.686 > CurrentPositionZ :0
17:00:46.686 > CurrentPositionZ :0
17:00:46.686 > CurrentPositionZ :0
17:00:46.690 > CurrentPositionZ :0
17:00:46.690 > CurrentPositionZ :0
17:00:46.694 > CurrentPositionZ :0
17:00:46.694 > CurrentPositionZ :0
17:00:46.698 > CurrentPositionZ :0
17:00:46.698 > CurrentPositionZ :0
17:00:46.702 > CurrentPositionZ :0
17:00:46.702 > CurrentPositionZ :0
17:00:46.702 > CurrentPositionZ :0
17:00:46.706 > CurrentPositionZ :0
17:00:46.706 > CurrentPositionZ :0
17:00:46.711 > CurrentPositionZ :0
17:00:46.711 > CurrentPositionZ :0
17:00:46.715 > CurrentPositionZ :0
17:00:46.715 > CurrentPositionZ :0
17:00:46.715 > CurrentPositionZ :0
17:00:46.719 > CurrentPositionZ :0
17:00:46.719 > CurrentPositionZ :0
17:00:46.723 > CurrentPositionZ :0
17:00:46.723 > CurrentPositionZ :0
17:00:46.727 > CurrentPositionZ :0
17:00:46.727 > CurrentPositionZ :0
17:00:46.731 > CurrentPositionZ :0
17:00:46.731 > CurrentPositionZ :0
17:00:46.731 > CurrentPositionZ :0
17:00:46.735 > CurrentPositionZ :0
17:00:46.735 > CurrentPositionZ :0
17:00:46.739 > CurrentPositionZ :0
17:00:46.739 > CurrentPositionZ :0
17:00:46.744 > CurrentPositionZ :0
17:00:46.744 > CurrentPositionZ :0
17:00:46.744 > CurrentPositionZ :0
17:00:46.747 > CurrentPositionZ :0
17:00:46.747 > CurrentPositionZ :0
17:00:46.752 > CurrentPositionZ :0
17:00:46.752 > CurrentPositionZ :0
17:00:46.756 > CurrentPositionZ :0
17:00:46.756 > CurrentPositionZ :0
17:00:46.756 > CurrentPositionZ :0
17:00:46.760 > CurrentPositionZ :0
17:00:46.760 > CurrentPositionZ :0
17:00:46.764 > CurrentPositionZ :0
17:00:46.764 > CurrentPositionZ :0
17:00:46.768 > CurrentPositionZ :0
17:00:46.768 > CurrentPositionZ :0
17:00:46.772 > CurrentPositionZ :0
17:00:46.772 > CurrentPositionZ :0
17:00:46.772 > CurrentPositionZ :0
17:00:46.776 > CurrentPositionZ :0
17:00:46.776 > CurrentPositionZ :0
17:00:46.780 > CurrentPositionZ :0
17:00:46.780 > CurrentPositionZ :0
17:00:46.784 > CurrentPositionZ :0
17:00:46.784 > CurrentPositionZ :0
17:00:46.784 > CurrentPositionZ :0
17:00:46.788 > CurrentPositionZ :0
17:00:46.788 > CurrentPositionZ :0
17:00:46.793 > CurrentPositionZ :0
17:00:46.793 > CurrentPositionZ :0
17:00:46.797 > CurrentPositionZ :0
17:00:46.797 > CurrentPositionZ :0
17:00:46.801 > CurrentPositionZ :0
17:00:46.801 > CurrentPositionZ :0
17:00:46.801 > CurrentPositionZ :0
17:00:46.805 > CurrentPositionZ :0
17:00:46.805 > CurrentPositionZ :0
17:00:46.809 > CurrentPositionZ :0
17:00:46.809 > CurrentPositionZ :0
17:00:46.813 > CurrentPositionZ :0
17:00:46.813 > CurrentPositionZ :0
17:00:46.813 > CurrentPositionZ :0
17:00:46.817 > CurrentPositionZ :0
17:00:46.817 > CurrentPositionZ :0
17:00:46.821 > CurrentPositionZ :0
17:00:46.821 > CurrentPositionZ :0
17:00:46.825 > CurrentPositionZ :0
17:00:46.825 > CurrentPositionZ :0
17:00:46.829 > CurrentPositionZ :0
17:00:46.830 > CurrentPositionZ :0
17:00:46.830 > CurrentPositionZ :0
17:00:46.834 > CurrentPositionZ :0
17:00:46.834 > CurrentPositionZ :0
