18:10:55.601 > Hello from received
18:10:55.603 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.605 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.607 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.608 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.612 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.614 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.616 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.620 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.622 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.624 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.626 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.630 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.632 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.634 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.637 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.640 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.642 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.644 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.647 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.650 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.652 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.654 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.657 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.660 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.662 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.665 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.668 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.670 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.672 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.675 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.678 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.680 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.683 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.685 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.688 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.690 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.693 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.695 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.698 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.701 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.703 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.706 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.709 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.711 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.713 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.716 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.719 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.721 > X1 :0	 X2 :0	 Y :0	 Z:0
18:10:55.723 > X1 :0	 X2 :0	 Y :0	 Z:0
