18:16:56.640 > X1 :0	 X2 :0	 Y :0	 Z:1
18:16:56.644 > X1 :0	 X2 :0	 Y :0	 Z:2
18:16:56.644 > X1 :0	 X2 :0	 Y :0	 Z:3
18:16:56.648 > X1 :0	 X2 :0	 Y :0	 Z:4
18:16:56.648 > X1 :0	 X2 :0	 Y :0	 Z:5
18:16:56.652 > X1 :0	 X2 :0	 Y :0	 Z:6
18:16:56.656 > X1 :0	 X2 :0	 Y :0	 Z:7
18:16:56.656 > X1 :0	 X2 :0	 Y :0	 Z:8
18:16:56.660 > X1 :0	 X2 :0	 Y :0	 Z:9
18:16:56.665 > X1 :0	 X2 :0	 Y :0	 Z:10
18:16:56.665 > X1 :0	 X2 :0	 Y :0	 Z:11
18:16:56.669 > X1 :0	 X2 :0	 Y :0	 Z:12
18:16:56.673 > X1 :0	 X2 :0	 Y :0	 Z:13
18:16:56.673 > X1 :0	 X2 :0	 Y :0	 Z:14
18:16:56.677 > X1 :0	 X2 :0	 Y :0	 Z:15
18:16:56.681 > X1 :0	 X2 :0	 Y :0	 Z:16
18:16:56.681 > X1 :0	 X2 :0	 Y :0	 Z:17
18:16:56.685 > X1 :0	 X2 :0	 Y :0	 Z:18
18:16:56.689 > X1 :0	 X2 :0	 Y :0	 Z:19
18:16:56.689 > X1 :0	 X2 :0	 Y :0	 Z:20
18:16:56.693 > X1 :0	 X2 :0	 Y :0	 Z:21
18:16:56.693 > X1 :0	 X2 :0	 Y :0	 Z:22
18:16:56.697 > X1 :0	 X2 :0	 Y :0	 Z:23
18:16:56.701 > X1 :0	 X2 :0	 Y :0	 Z:24
18:16:56.701 > X1 :0	 X2 :0	 Y :0	 Z:25
18:16:56.706 > X1 :0	 X2 :0	 Y :0	 Z:26
18:16:56.710 > X1 :0	 X2 :0	 Y :0	 Z:27
18:16:56.710 > X1 :0	 X2 :0	 Y :0	 Z:28
18:16:56.714 > X1 :0	 X2 :0	 Y :0	 Z:29
18:16:56.718 > X1 :0	 X2 :0	 Y :0	 Z:30
18:16:56.718 > X1 :0	 X2 :0	 Y :0	 Z:31
18:16:56.722 > X1 :0	 X2 :0	 Y :0	 Z:32
18:16:56.726 > X1 :0	 X2 :0	 Y :0	 Z:33
18:16:56.726 > X1 :0	 X2 :0	 Y :0	 Z:34
18:16:56.730 > X1 :0	 X2 :0	 Y :0	 Z:34
18:16:56.734 > X1 :0	 X2 :0	 Y :0	 Z:34
18:16:56.734 > X1 :0	 X2 :0	 Y :0	 Z:34
18:16:56.738 > X1 :0	 X2 :0	 Y :0	 Z:34
18:16:56.738 > X1 :0	 X2 :0	 Y :0	 Z:34
18:16:56.742 > X1 :0	 X2 :0	 Y :0	 Z:34
18:16:56.746 > X1 :0	 X2 :0	 Y :0	 Z:34
18:16:56.746 > X1 :0	 X2 :0	 Y :0	 Z:34
18:16:56.750 > X1 :0	 X2 :0	 Y :0	 Z:34
18:16:56.754 > X1 :0	 X2 :0	 Y :0	 Z:34
18:16:56.755 > X1 :0	 X2 :0	 Y :0	 Z:34
