18:26:42.308 > 
18:26:42.309 > 0
18:26:42.324 > 1
18:26:42.337 > 2
18:26:42.353 > 3
18:26:42.369 > 4
18:26:42.382 > 5
18:26:42.398 > 6
18:26:42.414 > 7
18:26:42.427 > 8
18:26:42.444 > 9
18:26:42.459 > 10
18:26:42.476 > 11
18:26:42.488 > 12
18:26:42.504 > 13
18:26:42.521 > 14
18:26:42.533 > 15
18:26:42.550 > 16
18:26:42.566 > 17
18:26:42.578 > 18
18:26:42.595 > 19
18:26:42.611 > 20
18:26:42.628 > 21
18:26:42.640 > 22
18:26:42.656 > 23
18:26:42.672 > 24
18:26:42.685 > 25
18:26:42.701 > 26
18:26:42.717 > 27
18:26:42.734 > 28
18:26:42.746 > 29
18:26:42.763 > 30
18:26:42.779 > 31
18:26:42.791 > 32
18:26:42.808 > 33
18:26:42.824 > 34
18:26:42.840 > 35
18:26:42.853 > 36
18:26:42.869 > 37
18:26:42.885 > 38
18:26:42.898 > 39
18:26:42.914 > 40
18:26:42.930 > 41
18:26:42.943 > 42
18:26:42.959 > 43
18:26:42.976 > 44
18:26:42.992 > 45
18:26:43.004 > 46
18:26:43.021 > 47
18:26:43.037 > 48
18:26:43.049 > 49
18:26:43.066 > 50
18:26:43.082 > 51
18:26:43.098 > 52
18:26:43.111 > 53
18:26:43.127 > 54
18:26:43.144 > 55
18:26:43.156 > 56
18:26:43.172 > 57
18:26:43.188 > 58
18:26:43.205 > 59
18:26:43.217 > 60
18:26:43.234 > 61
18:26:43.250 > 62
18:26:43.262 > 63
18:26:43.279 > 64
18:26:43.295 > 65
18:26:43.307 > 66
18:26:43.324 > 67
18:26:43.340 > 68
18:26:43.357 > 69
18:26:43.369 > 70
18:26:43.385 > 71
18:26:43.401 > 72
18:26:43.414 > 73
18:26:43.431 > 74
18:26:43.447 > 75
18:26:43.463 > 76
18:26:43.475 > 77
18:26:43.492 > 78
18:26:43.508 > 79
18:26:43.520 > 80
18:26:43.537 > 81
18:26:43.553 > 82
18:26:43.569 > 83
18:26:43.582 > 84
18:26:43.598 > 85
18:26:43.614 > 86
18:26:43.627 > 87
18:26:43.643 > 88
18:26:43.660 > 89
18:26:43.672 > 90
18:26:43.688 > 91
18:26:43.705 > 92
18:26:43.721 > 93
18:26:43.733 > 94
18:26:43.750 > 95
18:26:43.766 > 96
18:26:43.778 > 97
18:26:43.795 > 98
18:26:43.811 > 99
18:26:43.827 > 100
18:26:43.840 > 101
18:26:43.856 > 102
18:26:43.872 > 103
18:26:43.885 > 104
18:26:43.902 > 105
18:26:43.918 > 106
18:26:43.934 > 107
18:26:43.946 > 108
18:26:43.963 > 109
18:26:43.979 > 110
18:26:43.991 > 111
18:26:44.008 > 112
18:26:44.024 > 113
18:26:44.041 > 114
18:26:44.053 > 115
18:26:44.069 > 116
18:26:44.086 > 117
18:26:44.102 > 118
18:26:44.114 > 119
18:26:44.131 > 120
18:26:44.147 > 121
18:26:44.159 > 122
18:26:44.176 > 123
18:26:44.192 > 124
18:26:44.208 > 125
18:26:44.221 > 126
18:26:44.237 > 127
18:26:44.253 > 128
18:26:44.266 > 129
18:26:44.282 > 130
18:26:44.298 > 131
18:26:44.315 > 132
18:26:44.327 > 133
18:26:44.344 > 134
18:26:44.360 > 135
18:26:44.376 > 136
18:26:44.389 > 137
18:26:44.405 > 138
18:26:44.422 > 139
18:26:44.434 > 140
18:26:44.450 > 141
18:26:44.467 > 142
18:26:44.483 > 143
18:26:44.497 > 144
18:26:44.511 > 145
18:26:44.528 > 146
18:26:44.540 > 147
18:26:44.557 > 148
18:26:44.573 > 149
18:26:44.589 > 150
18:26:44.602 > 151
18:26:44.618 > 152
18:26:44.634 > 153
18:26:44.647 > 154
18:26:44.663 > 155
18:26:44.679 > 156
18:26:44.696 > 157
18:26:44.708 > 158
18:26:44.725 > 159
18:26:44.741 > 160
18:26:44.757 > 161
18:26:44.769 > 162
18:26:44.786 > 163
18:26:44.802 > 164
18:26:44.815 > 165
18:26:44.831 > 166
18:26:44.847 > 167
18:26:44.864 > 168
18:26:44.876 > 169
18:26:44.892 > 170
18:26:44.909 > 171
18:26:44.921 > 172
18:26:44.937 > 173
18:26:44.954 > 174
18:26:44.970 > 175
18:26:44.982 > 176
18:26:44.999 > 177
18:26:45.015 > 178
18:26:45.032 > 179
18:26:45.044 > 180
18:26:45.060 > 180
18:26:45.077 > 179
18:26:45.089 > 178
18:26:45.105 > 177
18:26:45.122 > 176
18:26:45.138 > 175
18:26:45.150 > 174
18:26:45.167 > 173
18:26:45.183 > 172
18:26:45.195 > 171
18:26:45.212 > 170
18:26:45.228 > 169
18:26:45.245 > 168
18:26:45.257 > 167
18:26:45.273 > 166
18:26:45.290 > 165
18:26:45.302 > 164
18:26:45.318 > 163
18:26:45.335 > 162
18:26:45.351 > 161
18:26:45.363 > 160
18:26:45.380 > 159
18:26:45.396 > 158
18:26:45.413 > 157
18:26:45.425 > 156
18:26:45.441 > 155
18:26:45.458 > 154
18:26:45.470 > 153
