18:18:11.497 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.498 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.501 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.505 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.506 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.510 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.510 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.514 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.518 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.518 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.522 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.526 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.526 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.530 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.530 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.534 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.538 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.538 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.542 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.546 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.546 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.550 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.550 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.555 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.559 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.559 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.563 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.567 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.567 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.571 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.571 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.575 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.579 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.579 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.583 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.587 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.587 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.591 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.591 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.596 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.600 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.600 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.604 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.608 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.608 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.612 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.612 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.616 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.620 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.620 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.624 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.628 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.628 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.632 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.632 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.637 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.640 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.640 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.645 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.649 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.649 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.653 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.657 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.657 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.661 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.661 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.665 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.669 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.669 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.673 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.677 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.677 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.681 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.681 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.686 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.690 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.690 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.694 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.698 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.698 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.702 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.702 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.706 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.710 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.710 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.714 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.718 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.718 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.722 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.722 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.727 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.731 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.731 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.735 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.739 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.739 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.743 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.743 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.747 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.751 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.751 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.755 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.759 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.759 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.763 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.763 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.768 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.772 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.772 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.776 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.780 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.780 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.784 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.784 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.788 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.792 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.792 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.796 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.800 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.800 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.804 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.808 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.808 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.812 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.812 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.817 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.821 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.821 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.825 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.829 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.829 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.833 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.833 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.837 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.841 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.841 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.845 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.849 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.849 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.854 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.854 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.858 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.862 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.862 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.866 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.870 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.870 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.874 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.874 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.878 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.882 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.882 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.886 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.890 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.890 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.894 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.894 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.899 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.903 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.903 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.907 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.911 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:11.911 > X1 :0	 X2 :0	 Y :0	 Z:0
