17:54:16.052 > X1 :0	 X2 :0	 Y :1	 Z:0
17:54:16.053 > X1 :0	 X2 :0	 Y :2	 Z:0
17:54:16.056 > X1 :0	 X2 :0	 Y :3	 Z:0
17:54:16.056 > X1 :0	 X2 :0	 Y :4	 Z:0
17:54:16.060 > X1 :0	 X2 :0	 Y :5	 Z:0
17:54:16.064 > X1 :0	 X2 :0	 Y :6	 Z:0
17:54:16.064 > X1 :0	 X2 :0	 Y :7	 Z:0
17:54:16.068 > X1 :0	 X2 :0	 Y :8	 Z:0
17:54:16.072 > X1 :0	 X2 :0	 Y :9	 Z:0
17:54:16.072 > X1 :0	 X2 :0	 Y :10	 Z:0
17:54:16.077 > X1 :0	 X2 :0	 Y :11	 Z:0
17:54:16.080 > X1 :0	 X2 :0	 Y :12	 Z:0
17:54:16.081 > X1 :0	 X2 :0	 Y :13	 Z:0
17:54:16.085 > X1 :0	 X2 :0	 Y :14	 Z:0
17:54:16.089 > X1 :0	 X2 :0	 Y :15	 Z:0
17:54:16.089 > X1 :0	 X2 :0	 Y :16	 Z:0
17:54:16.093 > X1 :0	 X2 :0	 Y :17	 Z:0
17:54:16.093 > X1 :0	 X2 :0	 Y :18	 Z:0
17:54:16.097 > X1 :0	 X2 :0	 Y :19	 Z:0
17:54:16.101 > X1 :0	 X2 :0	 Y :20	 Z:0
17:54:16.101 > X1 :0	 X2 :0	 Y :21	 Z:0
17:54:16.105 > X1 :0	 X2 :0	 Y :22	 Z:0
17:54:16.109 > X1 :0	 X2 :0	 Y :23	 Z:0
17:54:16.109 > X1 :0	 X2 :0	 Y :24	 Z:0
17:54:16.113 > X1 :0	 X2 :0	 Y :25	 Z:0
17:54:16.118 > X1 :0	 X2 :0	 Y :26	 Z:0
17:54:16.118 > X1 :0	 X2 :0	 Y :27	 Z:0
17:54:16.121 > X1 :0	 X2 :0	 Y :28	 Z:0
17:54:16.126 > X1 :0	 X2 :0	 Y :29	 Z:0
17:54:16.126 > X1 :0	 X2 :0	 Y :30	 Z:0
17:54:16.130 > X1 :0	 X2 :0	 Y :31	 Z:0
17:54:16.134 > X1 :0	 X2 :0	 Y :32	 Z:0
17:54:16.134 > X1 :0	 X2 :0	 Y :33	 Z:0
17:54:16.138 > X1 :0	 X2 :0	 Y :34	 Z:0
17:54:16.142 > X1 :0	 X2 :0	 Y :35	 Z:0
17:54:16.142 > X1 :0	 X2 :0	 Y :36	 Z:0
17:54:16.146 > X1 :0	 X2 :0	 Y :37	 Z:0
17:54:16.146 > X1 :0	 X2 :0	 Y :38	 Z:0
