18:25:51.605 > Hello from received
18:25:51.841 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.843 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.845 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.848 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.851 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.853 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.855 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.857 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.861 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.863 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.865 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.868 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.871 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.873 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.875 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.878 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.881 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.883 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.886 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.888 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.890 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.893 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.896 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.898 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.900 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.904 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.906 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.908 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.910 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.914 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.916 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.918 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.920 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.924 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.926 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.928 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.931 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.934 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.936 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.938 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.941 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.943 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.946 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.949 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.951 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.953 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.956 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.959 > X1 :0	 X2 :0	 Y :0	 Z:0
