17:13:10.977 > Start: mawaaa
17:13:10.977 > CurrentPositionZ :0
17:13:10.981 > CurrentPositionZ :0
17:13:10.981 > CurrentPositionZ :0
17:13:10.985 > CurrentPositionZ :0
17:13:10.985 > CurrentPositionZ :0
17:13:10.985 > CurrentPositionZ :0
17:13:10.989 > CurrentPositionZ :0
17:13:10.989 > CurrentPositionZ :0
17:13:10.994 > CurrentPositionZ :0
17:13:10.994 > CurrentPositionZ :0
17:13:10.998 > CurrentPositionZ :0
17:13:10.998 > CurrentPositionZ :0
17:13:11.002 > CurrentPositionZ :0
17:13:11.002 > CurrentPositionZ :0
17:13:11.002 > CurrentPositionZ :0
17:13:11.006 > CurrentPositionZ :0
17:13:11.006 > CurrentPositionZ :0
17:13:11.010 > CurrentPositionZ :0
17:13:11.010 > CurrentPositionZ :0
17:13:11.014 > CurrentPositionZ :0
17:13:11.014 > CurrentPositionZ :0
17:13:11.014 > CurrentPositionZ :0
17:13:11.018 > CurrentPositionZ :0
17:13:11.018 > CurrentPositionZ :0
17:13:11.022 > CurrentPositionZ :0
17:13:11.022 > CurrentPositionZ :0
17:13:11.026 > CurrentPositionZ :0
17:13:11.026 > CurrentPositionZ :0
17:13:11.030 > CurrentPositionZ :0
17:13:11.030 > CurrentPositionZ :0
17:13:11.030 > CurrentPositionZ :0
17:13:11.035 > CurrentPositionZ :0
17:13:11.035 > CurrentPositionZ :0
17:13:11.039 > CurrentPositionZ :0
17:13:11.039 > CurrentPositionZ :0
17:13:11.043 > CurrentPositionZ :0
17:13:11.043 > CurrentPositionZ :0
17:13:11.043 > CurrentPositionZ :0
17:13:11.047 > CurrentPositionZ :0
17:13:11.047 > CurrentPositionZ :0
17:13:11.051 > CurrentPositionZ :0
17:13:11.051 > CurrentPositionZ :0
17:13:11.055 > CurrentPositionZ :0
17:13:11.055 > CurrentPositionZ :0
17:13:11.055 > CurrentPositionZ :0
17:13:11.059 > CurrentPositionZ :0
17:13:11.059 > CurrentPositionZ :0
17:13:11.063 > CurrentPositionZ :0
