18:23:48.222 > 
18:23:48.222 > 0
18:23:48.238 > 1
18:23:48.250 > 2
18:23:48.266 > 3
18:23:48.283 > 4
18:23:48.295 > 5
18:23:48.311 > 6
18:23:48.328 > 7
18:23:48.344 > 8
18:23:48.356 > 9
18:23:48.373 > 10
18:23:48.389 > 11
18:23:48.401 > 12
18:23:48.418 > 13
18:23:48.434 > 14
18:23:48.446 > 15
18:23:48.463 > 16
18:23:48.479 > 17
18:23:48.496 > 18
18:23:48.508 > 19
18:23:48.524 > 20
18:23:48.541 > 21
18:23:48.553 > 22
18:23:48.569 > 23
18:23:48.586 > 24
18:23:48.602 > 25
18:23:48.614 > 26
18:23:48.631 > 27
18:23:48.647 > 28
18:23:48.660 > 29
18:23:48.676 > 30
18:23:48.692 > 31
18:23:48.709 > 32
18:23:48.721 > 33
18:23:48.737 > 34
18:23:48.754 > 35
18:23:48.766 > 36
18:23:48.782 > 37
18:23:48.799 > 38
18:23:48.811 > 39
18:23:48.827 > 40
18:23:48.844 > 41
18:23:48.860 > 42
18:23:48.872 > 43
18:23:48.889 > 44
18:23:48.905 > 45
18:23:48.918 > 46
18:23:48.934 > 47
18:23:48.950 > 48
18:23:48.967 > 49
18:23:48.979 > 50
18:23:48.997 > 51
18:23:49.012 > 52
18:23:49.024 > 53
18:23:49.040 > 54
18:23:49.057 > 55
18:23:49.074 > 56
18:23:49.086 > 57
18:23:49.102 > 58
18:23:49.118 > 59
18:23:49.130 > 60
18:23:49.147 > 61
18:23:49.163 > 62
18:23:49.176 > 63
18:23:49.192 > 64
18:23:49.208 > 65
18:23:49.225 > 66
18:23:49.237 > 67
18:23:49.253 > 68
18:23:49.270 > 69
18:23:49.282 > 70
18:23:49.298 > 71
18:23:49.315 > 72
18:23:49.331 > 73
18:23:49.344 > 74
18:23:49.360 > 75
18:23:49.376 > 76
18:23:49.389 > 77
18:23:49.405 > 78
18:23:49.421 > 79
18:23:49.438 > 80
18:23:49.450 > 81
18:23:49.466 > 82
18:23:49.483 > 83
18:23:49.495 > 84
18:23:49.511 > 85
18:23:49.528 > 86
18:23:49.542 > 87
18:23:49.557 > 88
18:23:49.573 > 89
18:23:49.590 > 90
18:23:49.605 > 91
18:23:49.618 > 92
18:23:49.634 > 93
18:23:49.647 > 94
18:23:49.663 > 95
18:23:49.679 > 96
18:23:49.696 > 97
18:23:49.708 > 98
18:23:49.724 > 99
18:23:49.741 > 100
18:23:49.753 > 101
18:23:49.769 > 102
18:23:49.786 > 103
18:23:49.802 > 104
18:23:49.814 > 105
18:23:49.831 > 106
18:23:49.847 > 107
18:23:49.860 > 108
18:23:49.876 > 109
18:23:49.892 > 110
18:23:49.909 > 111
18:23:49.921 > 112
18:23:49.937 > 113
18:23:49.954 > 114
18:23:49.970 > 115
18:23:49.982 > 116
18:23:49.999 > 117
18:23:50.015 > 118
18:23:50.028 > 119
18:23:50.044 > 120
18:23:50.060 > 121
18:23:50.077 > 122
18:23:50.089 > 123
18:23:50.105 > 124
18:23:50.122 > 125
18:23:50.134 > 126
18:23:50.150 > 127
18:23:50.167 > 128
18:23:50.183 > 129
18:23:50.196 > 130
18:23:50.212 > 131
18:23:50.228 > 132
18:23:50.240 > 133
18:23:50.257 > 134
18:23:50.273 > 135
18:23:50.290 > 136
18:23:50.302 > 137
18:23:50.318 > 138
18:23:50.335 > 139
18:23:50.351 > 140
18:23:50.363 > 141
18:23:50.380 > 142
18:23:50.396 > 143
18:23:50.408 > 144
18:23:50.425 > 145
18:23:50.441 > 146
18:23:50.457 > 147
18:23:50.470 > 148
18:23:50.486 > 149
18:23:50.503 > 150
18:23:50.515 > 151
18:23:50.531 > 152
18:23:50.548 > 153
18:23:50.564 > 154
18:23:50.576 > 155
18:23:50.593 > 156
18:23:50.609 > 157
18:23:50.621 > 158
18:23:50.638 > 159
18:23:50.654 > 160
18:23:50.671 > 161
18:23:50.683 > 162
18:23:50.699 > 163
18:23:50.716 > 164
18:23:50.732 > 165
18:23:50.744 > 166
18:23:50.761 > 167
18:23:50.777 > 168
18:23:50.789 > 169
18:23:50.806 > 170
18:23:50.822 > 171
18:23:50.838 > 172
18:23:50.851 > 173
18:23:50.867 > 174
18:23:50.884 > 175
18:23:50.896 > 176
18:23:50.912 > 177
18:23:50.929 > 178
18:23:50.945 > 179
18:23:50.957 > 180
18:23:50.974 > 180
18:23:50.990 > 179
18:23:51.007 > 178
18:23:51.019 > 177
18:23:51.035 > 176
18:23:51.051 > 175
18:23:51.064 > 174
18:23:51.080 > 173
18:23:51.097 > 172
18:23:51.113 > 171
18:23:51.125 > 170
18:23:51.142 > 169
18:23:51.158 > 168
18:23:51.170 > 167
18:23:51.187 > 166
18:23:51.203 > 165
18:23:51.219 > 164
18:23:51.232 > 163
18:23:51.248 > 162
18:23:51.265 > 161
18:23:51.277 > 160
18:23:51.293 > 159
18:23:51.310 > 158
18:23:51.326 > 157
18:23:51.338 > 156
18:23:51.355 > 155
18:23:51.371 > 154
18:23:51.387 > 153
18:23:51.400 > 152
18:23:51.416 > 151
18:23:51.432 > 150
18:23:51.445 > 149
18:23:51.461 > 148
18:23:51.478 > 147
18:23:51.494 > 146
18:23:51.506 > 145
18:23:51.522 > 144
18:23:51.539 > 143
18:23:51.551 > 142
18:23:51.567 > 141
18:23:51.584 > 140
18:23:51.600 > 139
18:23:51.613 > 138
18:23:51.629 > 137
18:23:51.645 > 136
18:23:51.658 > 135
18:23:51.674 > 134
18:23:51.690 > 133
18:23:51.707 > 132
18:23:51.719 > 131
18:23:51.735 > 130
18:23:51.752 > 129
18:23:51.768 > 128
18:23:51.780 > 127
18:23:51.797 > 126
18:23:51.813 > 125
18:23:51.826 > 124
18:23:51.842 > 123
18:23:51.858 > 122
18:23:51.875 > 121
18:23:51.887 > 120
18:23:51.903 > 119
18:23:51.920 > 118
18:23:51.932 > 117
18:23:51.948 > 116
18:23:51.965 > 115
18:23:51.981 > 114
18:23:51.993 > 113
18:23:52.010 > 112
18:23:52.026 > 111
18:23:52.043 > 110
18:23:52.055 > 109
18:23:52.071 > 108
18:23:52.088 > 107
18:23:52.100 > 106
18:23:52.116 > 105
18:23:52.133 > 104
18:23:52.149 > 103
18:23:52.161 > 102
18:23:52.178 > 101
18:23:52.194 > 100
18:23:52.207 > 99
18:23:52.223 > 98
18:23:52.239 > 97
18:23:52.256 > 96
18:23:52.268 > 95
18:23:52.284 > 94
18:23:52.301 > 93
18:23:52.313 > 92
18:23:52.329 > 91
18:23:52.346 > 90
18:23:52.358 > 89
18:23:52.375 > 88
18:23:52.391 > 87
18:23:52.407 > 86
18:23:52.419 > 85
18:23:52.436 > 84
18:23:52.452 > 83
18:23:52.465 > 82
18:23:52.481 > 81
18:23:52.497 > 80
18:23:52.514 > 79
18:23:52.526 > 78
18:23:52.542 > 77
18:23:52.559 > 76
18:23:52.571 > 75
18:23:52.587 > 74
18:23:52.604 > 73
18:23:52.620 > 72
18:23:52.632 > 71
18:23:52.649 > 70
18:23:52.665 > 69
18:23:52.677 > 68
18:23:52.694 > 67
18:23:52.710 > 66
18:23:52.723 > 65
18:23:52.739 > 64
18:23:52.755 > 63
18:23:52.772 > 62
18:23:52.784 > 61
18:23:52.800 > 60
18:23:52.817 > 59
18:23:52.829 > 58
18:23:52.845 > 57
18:23:52.862 > 56
18:23:52.878 > 55
18:23:52.890 > 54
18:23:52.907 > 53
18:23:52.923 > 52
18:23:52.935 > 51
18:23:52.952 > 50
18:23:52.968 > 49
18:23:52.985 > 48
18:23:52.997 > 47
18:23:53.013 > 46
18:23:53.030 > 45
18:23:53.042 > 44
18:23:53.058 > 43
18:23:53.075 > 42
18:23:53.087 > 41
18:23:53.103 > 40
18:23:53.120 > 39
18:23:53.136 > 38
18:23:53.148 > 37
18:23:53.165 > 36
18:23:53.181 > 35
18:23:53.194 > 34
18:23:53.210 > 33
18:23:53.226 > 32
18:23:53.243 > 31
18:23:53.255 > 30
18:23:53.271 > 29
18:23:53.288 > 28
18:23:53.300 > 27
18:23:53.316 > 26
18:23:53.333 > 25
18:23:53.349 > 24
18:23:53.361 > 23
18:23:53.378 > 22
18:23:53.394 > 21
18:23:53.406 > 20
18:23:53.423 > 19
18:23:53.439 > 18
18:23:53.452 > 17
18:23:53.468 > 16
18:23:53.485 > 15
18:23:53.501 > 14
18:23:53.513 > 13
18:23:53.529 > 12
18:23:53.546 > 11
18:23:53.558 > 10
18:23:53.574 > 9
18:23:53.591 > 8
18:23:53.607 > 7
18:23:53.620 > 6
18:23:53.636 > 5
18:23:53.652 > 4
18:23:53.665 > 3
18:23:53.681 > 2
18:23:53.697 > 1
18:23:53.710 > 0
18:23:53.726 > 0
18:23:53.742 > 1
18:23:53.755 > 2
18:23:53.773 > 3
18:23:53.788 > 4
18:23:53.804 > 5
18:23:53.816 > 6
18:23:53.834 > 7
18:23:53.849 > 8
18:23:53.861 > 9
18:23:53.878 > 10
18:23:53.894 > 11
18:23:53.906 > 12
18:23:53.923 > 13
18:23:53.939 > 14
18:23:53.955 > 15
18:23:53.968 > 16
18:23:53.984 > 17
18:23:54.000 > 18
18:23:54.013 > 19
18:23:54.029 > 20
18:23:54.046 > 21
18:23:54.062 > 22
18:23:54.074 > 23
18:23:54.091 > 24
18:23:54.107 > 25
18:23:54.119 > 26
18:23:54.136 > 27
18:23:54.152 > 28
18:23:54.168 > 29
18:23:54.181 > 30
18:23:54.197 > 31
18:23:54.213 > 32
18:23:54.226 > 33
18:23:54.242 > 34
18:23:54.259 > 35
18:23:54.271 > 36
18:23:54.287 > 37
18:23:54.303 > 38
18:23:54.320 > 39
18:23:54.332 > 40
18:23:54.349 > 41
18:23:54.365 > 42
18:23:54.377 > 43
18:23:54.394 > 44
18:23:54.410 > 45
18:23:54.428 > 46
18:23:54.439 > 47
18:23:54.456 > 48
18:23:54.471 > 49
18:23:54.484 > 50
18:23:54.500 > 51
18:23:54.516 > 52
18:23:54.529 > 53
18:23:54.545 > 54
18:23:54.562 > 55
18:23:54.578 > 56
18:23:54.590 > 57
18:23:54.607 > 58
18:23:54.623 > 59
18:23:54.635 > 60
18:23:54.652 > 61
18:23:54.668 > 62
18:23:54.684 > 63
18:23:54.697 > 64
18:23:54.713 > 65
18:23:54.730 > 66
18:23:54.742 > 67
18:23:54.758 > 68
18:23:54.775 > 69
18:23:54.791 > 70
18:23:54.803 > 71
18:23:54.820 > 72
18:23:54.836 > 73
18:23:54.848 > 74
18:23:54.865 > 75
18:23:54.881 > 76
18:23:54.893 > 77
18:23:54.910 > 78
18:23:54.926 > 79
18:23:54.942 > 80
18:23:54.955 > 81
18:23:54.971 > 82
18:23:54.988 > 83
18:23:55.000 > 84
18:23:55.016 > 85
18:23:55.033 > 86
18:23:55.049 > 87
18:23:55.061 > 88
18:23:55.078 > 89
18:23:55.094 > 90
18:23:55.106 > 91
18:23:55.123 > 92
18:23:55.139 > 93
18:23:55.155 > 94
18:23:55.168 > 95
18:23:55.184 > 96
18:23:55.200 > 97
18:23:55.213 > 98
18:23:55.229 > 99
18:23:55.246 > 100
18:23:55.262 > 101
18:23:55.274 > 102
18:23:55.291 > 103
18:23:55.307 > 104
18:23:55.319 > 105
18:23:55.336 > 106
18:23:55.352 > 107
18:23:55.368 > 108
18:23:55.381 > 109
18:23:55.397 > 110
18:23:55.413 > 111
18:23:55.426 > 112
18:23:55.442 > 113
18:23:55.459 > 114
18:23:55.475 > 115
18:23:55.487 > 116
18:23:55.504 > 117
18:23:55.520 > 118
18:23:55.532 > 119
18:23:55.549 > 120
18:23:55.565 > 121
18:23:55.581 > 122
18:23:55.594 > 123
18:23:55.610 > 124
18:23:55.626 > 125
18:23:55.643 > 126
18:23:55.655 > 127
18:23:55.671 > 128
18:23:55.688 > 129
18:23:55.700 > 130
18:23:55.716 > 131
18:23:55.733 > 132
18:23:55.749 > 133
18:23:55.762 > 134
18:23:55.778 > 135
18:23:55.794 > 136
18:23:55.807 > 137
18:23:55.823 > 138
18:23:55.839 > 139
18:23:55.856 > 140
18:23:55.868 > 141
18:23:55.884 > 142
18:23:55.901 > 143
18:23:55.913 > 144
18:23:55.930 > 145
18:23:55.946 > 146
18:23:55.962 > 147
18:23:55.975 > 148
18:23:55.991 > 149
18:23:56.007 > 150
18:23:56.024 > 151
18:23:56.036 > 152
18:23:56.052 > 153
18:23:56.069 > 154
18:23:56.081 > 155
18:23:56.097 > 156
18:23:56.114 > 157
