14:15:28.137 > Hello from received
14:15:28.137 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.141 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.141 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.145 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.145 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.149 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.153 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.153 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.157 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.157 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.161 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.166 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.166 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.170 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.174 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.174 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.178 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.178 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.182 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.186 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.186 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.190 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.194 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.194 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.198 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.202 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.202 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.207 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.207 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.211 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.215 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.215 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.219 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.223 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.223 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.227 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.227 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.231 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.235 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.235 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.239 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.243 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.244 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.247 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.247 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.252 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.256 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.256 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.260 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.264 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.264 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.268 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.268 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.272 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.276 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.276 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.280 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.284 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.284 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.288 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.288 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.293 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.297 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.297 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.301 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.305 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.305 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.309 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.309 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.313 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.317 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.317 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.321 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.325 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.325 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.329 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.329 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.333 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.338 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.338 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.342 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.346 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.346 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.350 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.350 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.354 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.358 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.358 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.362 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.366 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.366 > X1 :0	 X2 :0	 Y :0	 Z:0
14:15:28.370 > X1 :0	 X2 :0	 Y :0	 Z:0
