18:06:24.875 > Hello from received
18:06:24.877 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.879 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.881 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.882 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.886 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.888 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.890 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.893 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.896 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.898 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.900 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.904 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.906 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.908 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.910 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.914 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.916 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.918 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.920 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.924 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.926 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.928 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.931 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.934 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.936 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.938 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.942 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.944 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.946 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.949 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.952 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.954 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.956 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.959 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.962 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.964 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.966 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.969 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.972 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.974 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.977 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.980 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.982 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.984 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.987 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.990 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.992 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.994 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:24.997 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:25.000 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:25.002 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:25.005 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:25.007 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:25.010 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:25.013 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:25.015 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:25.017 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:25.020 > X1 :0	 X2 :0	 Y :0	 Z:0
