17:12:47.258 > Start: mawaaa
17:12:47.258 > CurrentPositionZ :0
17:12:47.262 > CurrentPositionZ :0
17:12:47.262 > CurrentPositionZ :0
17:12:47.266 > CurrentPositionZ :0
17:12:47.266 > CurrentPositionZ :0
17:12:47.270 > CurrentPositionZ :0
17:12:47.270 > CurrentPositionZ :0
17:12:47.270 > CurrentPositionZ :0
17:12:47.274 > CurrentPositionZ :0
17:12:47.274 > CurrentPositionZ :0
17:12:47.278 > CurrentPositionZ :0
17:12:47.278 > CurrentPositionZ :0
17:12:47.282 > CurrentPositionZ :0
17:12:47.282 > CurrentPositionZ :0
17:12:47.287 > CurrentPositionZ :0
17:12:47.287 > CurrentPositionZ :0
17:12:47.287 > CurrentPositionZ :0
17:12:47.291 > CurrentPositionZ :0
17:12:47.291 > CurrentPositionZ :0
17:12:47.295 > CurrentPositionZ :0
17:12:47.295 > CurrentPositionZ :0
17:12:47.299 > CurrentPositionZ :0
17:12:47.299 > CurrentPositionZ :0
17:12:47.299 > CurrentPositionZ :0
17:12:47.303 > CurrentPositionZ :0
17:12:47.303 > CurrentPositionZ :0
17:12:47.307 > CurrentPositionZ :0
17:12:47.307 > CurrentPositionZ :0
17:12:47.311 > CurrentPositionZ :0
17:12:47.311 > CurrentPositionZ :0
17:12:47.315 > CurrentPositionZ :0
17:12:47.315 > CurrentPositionZ :0
17:12:47.315 > CurrentPositionZ :0
17:12:47.319 > CurrentPositionZ :0
17:12:47.319 > CurrentPositionZ :0
17:12:47.324 > CurrentPositionZ :0
17:12:47.324 > CurrentPositionZ :0
17:12:47.327 > CurrentPositionZ :0
17:12:47.327 > CurrentPositionZ :0
17:12:47.327 > CurrentPositionZ :0
17:12:47.332 > CurrentPositionZ :0
17:12:47.332 > CurrentPositionZ :0
17:12:47.336 > CurrentPositionZ :0
17:12:47.336 > CurrentPositionZ :0
17:12:47.340 > CurrentPositionZ :0
17:12:47.340 > CurrentPositionZ :0
17:12:47.340 > CurrentPositionZ :0
17:12:47.344 > CurrentPositionZ :0
17:12:47.344 > CurrentPositionZ :0
17:12:47.348 > CurrentPositionZ :0
17:12:47.348 > CurrentPositionZ :0
17:12:47.352 > CurrentPositionZ :0
17:12:47.352 > CurrentPositionZ :0
17:12:47.356 > CurrentPositionZ :0
17:12:47.356 > CurrentPositionZ :0
17:12:47.356 > CurrentPositionZ :0
17:12:47.360 > CurrentPositionZ :0
17:12:47.360 > CurrentPositionZ :0
17:12:47.364 > CurrentPositionZ :0
17:12:47.364 > CurrentPositionZ :0
17:12:47.368 > CurrentPositionZ :0
17:12:47.368 > CurrentPositionZ :0
17:12:47.368 > CurrentPositionZ :0
17:12:47.373 > CurrentPositionZ :0
17:12:47.373 > CurrentPositionZ :0
17:12:47.377 > CurrentPositionZ :0
17:12:47.377 > CurrentPositionZ :0
17:12:47.381 > CurrentPositionZ :0
17:12:47.381 > CurrentPositionZ :0
17:12:47.385 > CurrentPositionZ :0
17:12:47.385 > CurrentPositionZ :0
17:12:47.385 > CurrentPositionZ :0
17:12:47.389 > CurrentPositionZ :0
17:12:47.389 > CurrentPositionZ :0
17:12:47.393 > CurrentPositionZ :0
17:12:47.393 > CurrentPositionZ :0
17:12:47.397 > CurrentPositionZ :0
17:12:47.397 > CurrentPositionZ :0
17:12:47.397 > CurrentPositionZ :0
17:12:47.401 > CurrentPositionZ :0
17:12:47.401 > CurrentPositionZ :0
17:12:47.405 > CurrentPositionZ :0
17:12:47.405 > CurrentPositionZ :0
17:12:47.409 > CurrentPositionZ :0
17:12:47.409 > CurrentPositionZ :0
17:12:47.409 > CurrentPositionZ :0
17:12:47.413 > CurrentPositionZ :0
17:12:47.413 > CurrentPositionZ :0
17:12:47.418 > CurrentPositionZ :0
17:12:47.418 > CurrentPositionZ :0
17:12:47.422 > CurrentPositionZ :0
17:12:47.422 > CurrentPositionZ :0
17:12:47.426 > CurrentPositionZ :0
17:12:47.426 > CurrentPositionZ :0
17:12:47.426 > CurrentPositionZ :0
17:12:47.430 > CurrentPositionZ :0
17:12:47.430 > CurrentPositionZ :0
17:12:47.434 > CurrentPositionZ :0
17:12:47.434 > CurrentPositionZ :0
17:12:47.438 > CurrentPositionZ :0
17:12:47.438 > CurrentPositionZ :0
17:12:47.438 > CurrentPositionZ :0
17:12:47.442 > CurrentPositionZ :0
17:12:47.442 > CurrentPositionZ :0
17:12:47.446 > CurrentPositionZ :0
17:12:47.446 > CurrentPositionZ :0
17:12:47.450 > CurrentPositionZ :0
17:12:47.450 > CurrentPositionZ :0
17:12:47.454 > CurrentPositionZ :0
17:12:47.454 > CurrentPositionZ :0
17:12:47.454 > CurrentPositionZ :0
17:12:47.459 > CurrentPositionZ :0
17:12:47.459 > CurrentPositionZ :0
17:12:47.463 > CurrentPositionZ :0
17:12:47.463 > CurrentPositionZ :0
17:12:47.467 > CurrentPositionZ :0
17:12:47.467 > CurrentPositionZ :0
17:12:47.467 > CurrentPositionZ :0
17:12:47.471 > CurrentPositionZ :0
17:12:47.471 > CurrentPositionZ :0
17:12:47.475 > CurrentPositionZ :0
17:12:47.475 > CurrentPositionZ :0
17:12:47.479 > CurrentPositionZ :0
17:12:47.479 > CurrentPositionZ :0
17:12:47.483 > CurrentPositionZ :0
17:12:47.483 > CurrentPositionZ :0
17:12:47.483 > CurrentPositionZ :0
17:12:47.487 > CurrentPositionZ :0
17:12:47.487 > CurrentPositionZ :0
17:12:47.491 > CurrentPositionZ :0
17:12:47.491 > CurrentPositionZ :0
17:12:47.495 > CurrentPositionZ :0
17:12:47.495 > CurrentPositionZ :0
17:12:47.495 > CurrentPositionZ :0
17:12:47.500 > CurrentPositionZ :0
17:12:47.500 > CurrentPositionZ :0
17:12:47.504 > CurrentPositionZ :0
17:12:47.504 > CurrentPositionZ :0
17:12:47.508 > CurrentPositionZ :0
17:12:47.508 > CurrentPositionZ :0
17:12:47.508 > CurrentPositionZ :0
17:12:47.512 > CurrentPositionZ :0
17:12:47.512 > CurrentPositionZ :0
17:12:47.516 > CurrentPositionZ :0
17:12:47.516 > CurrentPositionZ :0
17:12:47.520 > CurrentPositionZ :0
17:12:47.520 > CurrentPositionZ :0
17:12:47.524 > CurrentPositionZ :0
17:12:47.524 > CurrentPositionZ :0
17:12:47.524 > CurrentPositionZ :0
17:12:47.528 > CurrentPositionZ :0
17:12:47.528 > CurrentPositionZ :0
17:12:47.533 > CurrentPositionZ :0
17:12:47.533 > CurrentPositionZ :0
17:12:47.536 > CurrentPositionZ :0
17:12:47.536 > CurrentPositionZ :0
17:12:47.536 > CurrentPositionZ :0
17:12:47.541 > CurrentPositionZ :0
17:12:47.541 > CurrentPositionZ :0
17:12:47.548 > CurrentPositionZ :0
17:12:47.548 > CurrentPositionZ :0
17:12:47.549 > CurrentPositionZ :0
17:12:47.549 > CurrentPositionZ :0
17:12:47.553 > CurrentPositionZ :0
17:12:47.554 > CurrentPositionZ :0
17:12:47.554 > CurrentPositionZ :0
17:12:47.557 > CurrentPositionZ :0
17:12:47.557 > CurrentPositionZ :0
17:12:47.561 > CurrentPositionZ :0
17:12:47.561 > CurrentPositionZ :0
17:12:47.565 > CurrentPositionZ :0
17:12:47.565 > CurrentPositionZ :0
17:12:47.565 > CurrentPositionZ :0
17:12:47.569 > CurrentPositionZ :0
17:12:47.569 > CurrentPositionZ :0
17:12:47.573 > CurrentPositionZ :0
17:12:47.573 > CurrentPositionZ :0
17:12:47.581 > CurrentPositionZ :0
17:12:47.581 > CurrentPositionZ :0
17:12:47.581 > CurrentPositionZ :0
17:12:47.581 > CurrentPositionZ :0
17:12:47.581 > CurrentPositionZ :0
17:12:47.586 > CurrentPositionZ :0
17:12:47.586 > CurrentPositionZ :0
17:12:47.590 > CurrentPositionZ :0
17:12:47.590 > CurrentPositionZ :0
17:12:47.594 > CurrentPositionZ :0
17:12:47.594 > CurrentPositionZ :0
17:12:47.594 > CurrentPositionZ :0
17:12:47.598 > CurrentPositionZ :0
17:12:47.598 > CurrentPositionZ :0
17:12:47.602 > CurrentPositionZ :0
17:12:47.602 > CurrentPositionZ :0
17:12:47.606 > CurrentPositionZ :0
17:12:47.606 > CurrentPositionZ :0
17:12:47.606 > CurrentPositionZ :0
17:12:47.610 > CurrentPositionZ :0
17:12:47.610 > CurrentPositionZ :0
17:12:47.614 > CurrentPositionZ :0
17:12:47.614 > CurrentPositionZ :0
17:12:47.618 > CurrentPositionZ :0
17:12:47.618 > CurrentPositionZ :0
17:12:47.623 > CurrentPositionZ :0
17:12:47.623 > CurrentPositionZ :0
17:12:47.623 > CurrentPositionZ :0
17:12:47.626 > CurrentPositionZ :0
17:12:47.626 > CurrentPositionZ :0
17:12:47.631 > CurrentPositionZ :0
17:12:47.631 > CurrentPositionZ :0
17:12:47.635 > CurrentPositionZ :0
17:12:47.635 > CurrentPositionZ :0
17:12:47.635 > CurrentPositionZ :0
17:12:47.639 > CurrentPositionZ :0
17:12:47.639 > CurrentPositionZ :0
17:12:47.643 > CurrentPositionZ :0
17:12:47.643 > CurrentPositionZ :0
17:12:47.647 > CurrentPositionZ :0
17:12:47.647 > CurrentPositionZ :0
17:12:47.651 > CurrentPositionZ :0
17:12:47.651 > CurrentPositionZ :0
17:12:47.651 > CurrentPositionZ :0
17:12:47.655 > CurrentPositionZ :0
17:12:47.655 > CurrentPositionZ :0
17:12:47.659 > CurrentPositionZ :0
17:12:47.659 > CurrentPositionZ :0
17:12:47.663 > CurrentPositionZ :0
17:12:47.663 > CurrentPositionZ :0
17:12:47.663 > CurrentPositionZ :0
17:12:47.667 > CurrentPositionZ :0
17:12:47.667 > CurrentPositionZ :0
17:12:47.672 > CurrentPositionZ :0
17:12:47.672 > CurrentPositionZ :0
17:12:47.676 > CurrentPositionZ :0
17:12:47.676 > CurrentPositionZ :0
17:12:47.676 > CurrentPositionZ :0
17:12:47.680 > CurrentPositionZ :0
17:12:47.680 > CurrentPositionZ :0
17:12:47.684 > CurrentPositionZ :0
17:12:47.684 > CurrentPositionZ :0
17:12:47.688 > CurrentPositionZ :0
17:12:47.688 > CurrentPositionZ :0
17:12:47.692 > CurrentPositionZ :0
17:12:47.692 > CurrentPositionZ :0
17:12:47.692 > CurrentPositionZ :0
17:12:47.696 > CurrentPositionZ :0
17:12:47.696 > CurrentPositionZ :0
17:12:47.700 > CurrentPositionZ :0
17:12:47.700 > CurrentPositionZ :0
17:12:47.704 > CurrentPositionZ :0
17:12:47.704 > CurrentPositionZ :0
17:12:47.704 > CurrentPositionZ :0
17:12:47.708 > CurrentPositionZ :0
17:12:47.708 > CurrentPositionZ :0
17:12:47.712 > CurrentPositionZ :0
