18:06:57.072 > Hello from received
18:06:57.074 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.076 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.079 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.080 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.083 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.085 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.088 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.091 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.093 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.095 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.098 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.101 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.103 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.106 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.108 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.111 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.113 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.116 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.118 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.121 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.124 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.126 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.128 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.131 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.134 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.136 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.139 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.142 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.144 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.146 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.149 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.152 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.154 > X1 :0	 X2 :0	 Y :0	 Z:0
18:06:57.156 > X1 :0	 X2 :0	 Y :0	 Z:0
