18:17:29.398 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.402 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.402 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.406 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.410 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.410 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.414 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.414 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.418 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.422 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.422 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.426 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.430 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.430 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.434 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.434 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.439 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.443 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.443 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.447 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.451 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.451 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.455 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.455 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.459 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.463 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.463 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.467 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.471 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.471 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.475 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.475 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.480 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.484 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.484 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.488 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.492 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.492 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.496 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.496 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.500 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.504 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.504 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.508 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.512 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.512 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.516 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.516 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.520 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.525 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.525 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.529 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.533 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.533 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.537 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.537 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.541 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.545 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.545 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.549 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.553 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.553 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.558 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.558 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.561 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.565 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.565 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.570 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.574 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.574 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.578 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.578 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.582 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.586 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.586 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.590 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.594 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.594 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.598 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.598 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.602 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.606 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.606 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.611 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.615 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.615 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.619 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.619 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.623 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.627 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.627 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.631 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.635 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.635 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.639 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.639 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.643 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.647 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.647 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.651 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.656 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.656 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.660 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.660 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.664 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.668 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.668 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.672 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.676 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.676 > X1 :0	 X2 :0	 Y :0	 Z:0
18:17:29.680 > X1 :0	 X2 :0	 Y :0	 Z:0
