16:49:24.162 > Start: mawaaa
16:49:24.163 > CurrentPositionZ :0
16:49:24.163 > CurrentPositionZ :0
16:49:24.167 > CurrentPositionZ :0
16:49:24.167 > CurrentPositionZ :0
16:49:24.171 > CurrentPositionZ :0
16:49:24.171 > CurrentPositionZ :0
16:49:24.175 > CurrentPositionZ :0
16:49:24.175 > CurrentPositionZ :0
16:49:24.179 > CurrentPositionZ :0
16:49:24.179 > CurrentPositionZ :0
16:49:24.179 > CurrentPositionZ :0
16:49:24.183 > CurrentPositionZ :0
16:49:24.183 > CurrentPositionZ :0
16:49:24.187 > CurrentPositionZ :0
16:49:24.187 > CurrentPositionZ :0
16:49:24.191 > CurrentPositionZ :0
16:49:24.191 > CurrentPositionZ :0
16:49:24.191 > CurrentPositionZ :0
16:49:24.195 > CurrentPositionZ :0
16:49:24.195 > CurrentPositionZ :0
16:49:24.199 > CurrentPositionZ :0
16:49:24.199 > CurrentPositionZ :0
16:49:24.204 > CurrentPositionZ :0
16:49:24.204 > CurrentPositionZ :0
16:49:24.207 > CurrentPositionZ :0
16:49:24.208 > CurrentPositionZ :0
16:49:24.208 > CurrentPositionZ :0
16:49:24.212 > CurrentPositionZ :0
16:49:24.212 > CurrentPositionZ :0
16:49:24.216 > CurrentPositionZ :0
16:49:24.216 > CurrentPositionZ :0
16:49:24.220 > CurrentPositionZ :0
16:49:24.220 > CurrentPositionZ :0
16:49:24.220 > CurrentPositionZ :0
16:49:24.224 > CurrentPositionZ :0
16:49:24.224 > CurrentPositionZ :0
16:49:24.228 > CurrentPositionZ :0
16:49:24.228 > CurrentPositionZ :0
16:49:24.232 > CurrentPositionZ :0
16:49:24.232 > CurrentPositionZ :0
16:49:24.232 > CurrentPositionZ :0
16:49:24.236 > CurrentPositionZ :0
16:49:24.236 > CurrentPositionZ :0
16:49:24.240 > CurrentPositionZ :0
16:49:24.240 > CurrentPositionZ :0
16:49:24.244 > CurrentPositionZ :0
16:49:24.244 > CurrentPositionZ :0
16:49:24.249 > CurrentPositionZ :0
16:49:24.249 > CurrentPositionZ :0
16:49:24.249 > CurrentPositionZ :0
16:49:24.253 > CurrentPositionZ :0
16:49:24.253 > CurrentPositionZ :0
16:49:24.257 > CurrentPositionZ :0
16:49:24.257 > CurrentPositionZ :0
16:49:24.261 > CurrentPositionZ :0
16:49:24.261 > CurrentPositionZ :0
16:49:24.261 > CurrentPositionZ :0
16:49:24.265 > CurrentPositionZ :0
16:49:24.265 > CurrentPositionZ :0
16:49:24.269 > CurrentPositionZ :0
16:49:24.269 > CurrentPositionZ :0
16:49:24.273 > CurrentPositionZ :0
16:49:24.273 > CurrentPositionZ :0
16:49:24.277 > CurrentPositionZ :0
16:49:24.277 > CurrentPositionZ :0
16:49:24.277 > CurrentPositionZ :0
16:49:24.281 > CurrentPositionZ :0
16:49:24.281 > CurrentPositionZ :0
16:49:24.286 > CurrentPositionZ :0
16:49:24.286 > CurrentPositionZ :0
16:49:24.289 > CurrentPositionZ :0
16:49:24.289 > CurrentPositionZ :0
16:49:24.289 > CurrentPositionZ :0
