18:28:42.883 > 
18:28:42.885 > 0
18:28:42.895 > 1
18:28:42.912 > 2
18:28:42.928 > 3
18:28:42.940 > 4
18:28:42.956 > 5
18:28:42.973 > 6
18:28:42.985 > 7
18:28:43.001 > 8
18:28:43.018 > 9
18:28:43.034 > 10
18:28:43.046 > 11
18:28:43.063 > 12
18:28:43.079 > 13
18:28:43.092 > 14
18:28:43.108 > 15
18:28:43.124 > 16
18:28:43.141 > 17
18:28:43.153 > 18
18:28:43.169 > 19
18:28:43.186 > 20
18:28:43.198 > 21
18:28:43.214 > 22
18:28:43.231 > 23
18:28:43.243 > 24
18:28:43.259 > 25
18:28:43.276 > 26
18:28:43.292 > 27
18:28:43.305 > 28
18:28:43.321 > 29
18:28:43.337 > 30
18:28:43.350 > 31
18:28:43.366 > 32
18:28:43.382 > 33
18:28:43.399 > 34
18:28:43.411 > 35
18:28:43.428 > 36
18:28:43.444 > 37
18:28:43.456 > 38
18:28:43.473 > 39
18:28:43.489 > 40
18:28:43.505 > 41
18:28:43.517 > 42
18:28:43.534 > 43
18:28:43.550 > 44
18:28:43.563 > 45
18:28:43.579 > 46
18:28:43.595 > 47
18:28:43.608 > 48
18:28:43.624 > 49
18:28:43.640 > 50
18:28:43.657 > 51
18:28:43.669 > 52
18:28:43.685 > 53
18:28:43.702 > 54
18:28:43.714 > 55
18:28:43.730 > 56
18:28:43.747 > 57
18:28:43.763 > 58
18:28:43.776 > 59
18:28:43.792 > 60
18:28:43.808 > 61
18:28:43.821 > 62
18:28:43.837 > 63
18:28:43.853 > 64
18:28:43.870 > 65
18:28:43.882 > 66
18:28:43.898 > 67
18:28:43.915 > 68
18:28:43.927 > 69
18:28:43.944 > 70
18:28:43.960 > 71
18:28:43.972 > 72
18:28:43.989 > 73
18:28:44.005 > 74
18:28:44.021 > 75
18:28:44.034 > 76
18:28:44.050 > 77
18:28:44.066 > 78
18:28:44.079 > 79
18:28:44.095 > 80
18:28:44.111 > 81
18:28:44.128 > 82
18:28:44.140 > 83
18:28:44.157 > 84
18:28:44.173 > 85
18:28:44.185 > 86
18:28:44.201 > 87
18:28:44.218 > 88
18:28:44.234 > 89
18:28:44.247 > 90
18:28:44.264 > 91
18:28:44.279 > 92
18:28:44.292 > 93
18:28:44.308 > 94
18:28:44.324 > 95
18:28:44.337 > 96
18:28:44.353 > 97
18:28:44.369 > 98
18:28:44.386 > 99
18:28:44.398 > 100
18:28:44.414 > 101
18:28:44.431 > 102
18:28:44.443 > 103
18:28:44.460 > 104
18:28:44.476 > 105
18:28:44.492 > 106
18:28:44.505 > 107
18:28:44.521 > 108
18:28:44.537 > 109
18:28:44.554 > 110
18:28:44.566 > 111
18:28:44.582 > 112
18:28:44.599 > 113
18:28:44.611 > 114
18:28:44.628 > 115
18:28:44.644 > 116
18:28:44.660 > 117
18:28:44.673 > 118
18:28:44.689 > 119
18:28:44.705 > 120
18:28:44.718 > 121
18:28:44.734 > 122
18:28:44.750 > 123
18:28:44.767 > 124
18:28:44.779 > 125
18:28:44.795 > 126
18:28:44.812 > 127
18:28:44.824 > 128
18:28:44.841 > 129
18:28:44.857 > 130
18:28:44.873 > 131
18:28:44.886 > 132
18:28:44.902 > 133
18:28:44.918 > 134
18:28:44.935 > 135
18:28:44.947 > 136
18:28:44.963 > 137
18:28:44.980 > 138
18:28:44.992 > 139
18:28:45.008 > 140
18:28:45.025 > 141
18:28:45.041 > 142
18:28:45.053 > 143
18:28:45.070 > 144
18:28:45.086 > 145
18:28:45.099 > 146
18:28:45.116 > 147
18:28:45.131 > 148
18:28:45.148 > 149
18:28:45.160 > 150
18:28:45.176 > 151
18:28:45.193 > 152
18:28:45.209 > 153
18:28:45.221 > 154
18:28:45.238 > 155
18:28:45.254 > 156
18:28:45.266 > 157
18:28:45.283 > 158
18:28:45.299 > 159
18:28:45.316 > 160
18:28:45.328 > 161
18:28:45.344 > 162
18:28:45.361 > 163
18:28:45.373 > 164
18:28:45.389 > 165
18:28:45.406 > 166
18:28:45.422 > 167
18:28:45.434 > 168
18:28:45.451 > 169
18:28:45.467 > 170
18:28:45.480 > 171
18:28:45.496 > 172
18:28:45.512 > 173
18:28:45.529 > 174
18:28:45.541 > 175
18:28:45.557 > 176
18:28:45.574 > 177
18:28:45.590 > 178
18:28:45.602 > 179
18:28:45.619 > 180
18:28:45.635 > 180
18:28:45.647 > 179
18:28:45.664 > 178
18:28:45.680 > 177
18:28:45.696 > 176
18:28:45.709 > 175
18:28:45.725 > 174
18:28:45.742 > 173
18:28:45.754 > 172
18:28:45.770 > 171
18:28:45.787 > 170
18:28:45.803 > 169
18:28:45.815 > 168
18:28:45.832 > 167
18:28:45.848 > 166
18:28:45.864 > 165
18:28:45.877 > 164
18:28:45.893 > 163
18:28:45.909 > 162
18:28:45.922 > 161
18:28:45.938 > 160
18:28:45.955 > 159
18:28:45.971 > 158
18:28:45.983 > 157
18:28:46.000 > 156
18:28:46.016 > 155
18:28:46.028 > 154
