16:46:06.885 > Hello from received
16:46:06.887 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.889 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.892 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.893 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.896 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.899 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.901 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.904 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.906 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.909 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.911 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.914 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.917 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.919 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.921 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.924 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.927 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.929 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.931 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.934 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.937 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.939 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.941 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.945 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.947 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.949 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.952 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.955 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.957 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.959 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.963 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.965 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.967 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.969 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.973 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.975 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.977 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.979 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.983 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.985 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.987 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.991 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.993 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.995 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:06.997 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.001 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.003 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.005 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.008 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.011 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.013 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.015 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.018 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.021 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.023 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.025 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.028 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.031 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.033 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.036 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.039 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.041 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.043 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.046 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.049 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.051 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.054 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.056 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.059 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.061 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.064 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.066 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.069 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.072 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.074 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.076 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.079 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.082 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.084 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.087 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.090 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.092 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.094 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.097 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.100 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.102 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.104 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.107 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.110 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.112 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.114 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.118 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.120 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.122 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.124 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.128 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.130 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.132 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.136 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.138 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.140 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.142 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.146 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.148 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.150 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.152 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.156 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.158 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.160 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.163 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.166 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.168 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.170 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.174 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.176 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.178 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.181 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.184 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.186 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.188 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.191 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.194 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.196 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.198 > X1 :0	 X2 :0	 Y :0	 Z:0
16:46:07.201 > X1 :0	 X2 :0	 Y :0	 Z:0
